sha1,source_image,source_label,dest_image,dest_label,box_count
00cb2e3d04713cf6ad83071bdcb5003d9f84311f,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000056_000032_v8_div_balv2_0047__GS__Lucas_GS_T2-mov__t34-82_jpg.rf.c8d7288033046b7885a_00cb2e3d.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000056_000032_v8_div_balv2_0047__GS__Lucas_GS_T2-mov__t34-82_jpg.rf.c8d7288033046b7885a_00cb2e3d.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000056_000032_v8_div_balv2_0047__GS__Lucas_GS_T2-mov__t34-82_jpg.rf.c8d7288033046b7885a_00cb2e3d.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000056_000032_v8_div_balv2_0047__GS__Lucas_GS_T2-mov__t34-82_jpg.rf.c8d7288033046b7885a_00cb2e3d.txt,2
0173fdcd25e0a0222ed3c85d1a831747a93b6b64,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000281_000327_SL__Mikaela-Shifferin-Slolom2__frame_0017_jpg.rf.448f34ac0996d739246aa53e_0173fdcd.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000281_000327_SL__Mikaela-Shifferin-Slolom2__frame_0017_jpg.rf.448f34ac0996d739246aa53e_0173fdcd.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000281_000327_SL__Mikaela-Shifferin-Slolom2__frame_0017_jpg.rf.448f34ac0996d739246aa53e_0173fdcd.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000281_000327_SL__Mikaela-Shifferin-Slolom2__frame_0017_jpg.rf.448f34ac0996d739246aa53e_0173fdcd.txt,11
033e3fa5f3987491b94883f47592f988e1bcf9a5,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000147_000162_unseen_2907_SL_frame0231_jpg.rf.060d4ae513603ac74f731e5bd3c4c09f_033e3fa5_033e3fa5.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000147_000162_unseen_2907_SL_frame0231_jpg.rf.060d4ae513603ac74f731e5bd3c4c09f_033e3fa5_033e3fa5.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000147_000162_unseen_2907_SL_frame0231_jpg.rf.060d4ae513603ac74f731e5bd3c4c09f_033e3fa5_033e3fa5.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000147_000162_unseen_2907_SL_frame0231_jpg.rf.060d4ae513603ac74f731e5bd3c4c09f_033e3fa5_033e3fa5.txt,12
03bdc6cda33430a73405a130aee8b8c1be4956c8,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000256_000302_SL__MS-SL__frame_0019_jpg.rf.49fae4805cc933f36ef6e496359927a3_03bdc6cd_03bdc6cd.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000256_000302_SL__MS-SL__frame_0019_jpg.rf.49fae4805cc933f36ef6e496359927a3_03bdc6cd_03bdc6cd.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000256_000302_SL__MS-SL__frame_0019_jpg.rf.49fae4805cc933f36ef6e496359927a3_03bdc6cd_03bdc6cd.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000256_000302_SL__MS-SL__frame_0019_jpg.rf.49fae4805cc933f36ef6e496359927a3_03bdc6cd_03bdc6cd.txt,1
06d338ffbcd20ed3c05ab62e58672e069812092b,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000309_000355_uLW74013Wp0_18_uLW74013Wp0_18_00003_png.rf.7a240e83f288a360f3bd46d222e3f3_06d338ff.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000309_000355_uLW74013Wp0_18_uLW74013Wp0_18_00003_png.rf.7a240e83f288a360f3bd46d222e3f3_06d338ff.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000309_000355_uLW74013Wp0_18_uLW74013Wp0_18_00003_png.rf.7a240e83f288a360f3bd46d222e3f3_06d338ff.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000309_000355_uLW74013Wp0_18_uLW74013Wp0_18_00003_png.rf.7a240e83f288a360f3bd46d222e3f3_06d338ff.txt,3
0713c553ea1ba248dc9e7fe75a7871530a6b759a,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000190_000205_unseen_2911_SL_frame0279_jpg.rf.114054730bc86c4c38356162d9d34d4a_0713c553_0713c553.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000190_000205_unseen_2911_SL_frame0279_jpg.rf.114054730bc86c4c38356162d9d34d4a_0713c553_0713c553.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000190_000205_unseen_2911_SL_frame0279_jpg.rf.114054730bc86c4c38356162d9d34d4a_0713c553_0713c553.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000190_000205_unseen_2911_SL_frame0279_jpg.rf.114054730bc86c4c38356162d9d34d4a_0713c553_0713c553.txt,18
074e2dc376dac2dd55838eaae1ba73b58080ddcc,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000110_000086_v8_div_balv2_0191__Videos__SVYdH614G_M__5-mp4__t2-95_jpg.rf.47978ff1fa348_074e2dc3.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000110_000086_v8_div_balv2_0191__Videos__SVYdH614G_M__5-mp4__t2-95_jpg.rf.47978ff1fa348_074e2dc3.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000110_000086_v8_div_balv2_0191__Videos__SVYdH614G_M__5-mp4__t2-95_jpg.rf.47978ff1fa348_074e2dc3.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000110_000086_v8_div_balv2_0191__Videos__SVYdH614G_M__5-mp4__t2-95_jpg.rf.47978ff1fa348_074e2dc3.txt,1
0837764cb8d39f1b28d5c0409db98a46ba50c8ab,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000174_000189_unseen_2909_SL_frame0468_jpg.rf.8dfbf79a203a31cfcce353a6d7435bc5_0837764c_0837764c.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000174_000189_unseen_2909_SL_frame0468_jpg.rf.8dfbf79a203a31cfcce353a6d7435bc5_0837764c_0837764c.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000174_000189_unseen_2909_SL_frame0468_jpg.rf.8dfbf79a203a31cfcce353a6d7435bc5_0837764c_0837764c.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000174_000189_unseen_2909_SL_frame0468_jpg.rf.8dfbf79a203a31cfcce353a6d7435bc5_0837764c_0837764c.txt,1
08f84caa84f70fd347d25861dabda18e504ea7b8,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000228_000274_GS__MO-GS-T3__frame_0028_jpg.rf.6117506a9f59c4e354f2465c57a1cdb6_08f84caa_08f84caa.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000228_000274_GS__MO-GS-T3__frame_0028_jpg.rf.6117506a9f59c4e354f2465c57a1cdb6_08f84caa_08f84caa.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000228_000274_GS__MO-GS-T3__frame_0028_jpg.rf.6117506a9f59c4e354f2465c57a1cdb6_08f84caa_08f84caa.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000228_000274_GS__MO-GS-T3__frame_0028_jpg.rf.6117506a9f59c4e354f2465c57a1cdb6_08f84caa_08f84caa.txt,2
09663070fce139e9fe60c65040e544172ed2690b,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000215_000261_GS__Lucas-GS-T3__frame_0052_jpg.rf.c91db312bcee0eaa0d6f790eec65be7b_09663_09663070.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000215_000261_GS__Lucas-GS-T3__frame_0052_jpg.rf.c91db312bcee0eaa0d6f790eec65be7b_09663_09663070.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000215_000261_GS__Lucas-GS-T3__frame_0052_jpg.rf.c91db312bcee0eaa0d6f790eec65be7b_09663_09663070.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000215_000261_GS__Lucas-GS-T3__frame_0052_jpg.rf.c91db312bcee0eaa0d6f790eec65be7b_09663_09663070.txt,3
