source_root,source_split,source_image,source_label,target_split,target_image,target_label,sha1,box_count
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000002_v8_div_balv2_0061__GS__MO_GS_R-mov__t14-54_jpg.rf.77801c9b5f95302538cf2fab28ca8f_24c378a9.jpg,data/annotations/final_combined_1class_20260213/test/labels/000002_v8_div_balv2_0061__GS__MO_GS_R-mov__t14-54_jpg.rf.77801c9b5f95302538cf2fab28ca8f_24c378a9.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000001_000002_v8_div_balv2_0061__GS__MO_GS_R-mov__t14-54_jpg.rf.77801c9b5f95302538cf2fa_24c378a9.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000001_000002_v8_div_balv2_0061__GS__MO_GS_R-mov__t14-54_jpg.rf.77801c9b5f95302538cf2fa_24c378a9.txt,24c378a9b8ec165afecfd3c8592f560e538a6fd8,1
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000004_v8_div_balv2_0109__SL__MS_SL-mov__t14-37_jpg.rf.a853f63f8d46bc05142e571a6ca1328d_71303f1f.jpg,data/annotations/final_combined_1class_20260213/test/labels/000004_v8_div_balv2_0109__SL__MS_SL-mov__t14-37_jpg.rf.a853f63f8d46bc05142e571a6ca1328d_71303f1f.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000002_000004_v8_div_balv2_0109__SL__MS_SL-mov__t14-37_jpg.rf.a853f63f8d46bc05142e571a6_71303f1f.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000002_000004_v8_div_balv2_0109__SL__MS_SL-mov__t14-37_jpg.rf.a853f63f8d46bc05142e571a6_71303f1f.txt,71303f1f7c8484c020bb42ee457aeb40d803ef3a,1
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000005_v8_div_balv2_0123__SL__Screen_Recording_2026-02-07_at_14-59-25-mov__t22-45_jpg.r_f880cb01.jpg,data/annotations/final_combined_1class_20260213/test/labels/000005_v8_div_balv2_0123__SL__Screen_Recording_2026-02-07_at_14-59-25-mov__t22-45_jpg.r_f880cb01.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000003_000005_v8_div_balv2_0123__SL__Screen_Recording_2026-02-07_at_14-59-25-mov__t22-4_f880cb01.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000003_000005_v8_div_balv2_0123__SL__Screen_Recording_2026-02-07_at_14-59-25-mov__t22-4_f880cb01.txt,f880cb01ce20802979d31e35da2aa2318587ed33,1
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000006_v8_div_balv2_0143__Videos__5UHRvqx1iuQ__0-mp4__t2-41_jpg.rf.56214351a2ce4fce5581_4111112f.jpg,data/annotations/final_combined_1class_20260213/test/labels/000006_v8_div_balv2_0143__Videos__5UHRvqx1iuQ__0-mp4__t2-41_jpg.rf.56214351a2ce4fce5581_4111112f.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000004_000006_v8_div_balv2_0143__Videos__5UHRvqx1iuQ__0-mp4__t2-41_jpg.rf.56214351a2ce4_4111112f.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000004_000006_v8_div_balv2_0143__Videos__5UHRvqx1iuQ__0-mp4__t2-41_jpg.rf.56214351a2ce4_4111112f.txt,4111112fe394f1865f0bc99cb6f48083a787e119,1
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000007_v8_div_balv2_0150__Videos__he3w2n9WvrI__16-mp4__t5-98_jpg.rf.90c766a6cd466c2bfc4_d339fc30.jpg,data/annotations/final_combined_1class_20260213/test/labels/000007_v8_div_balv2_0150__Videos__he3w2n9WvrI__16-mp4__t5-98_jpg.rf.90c766a6cd466c2bfc4_d339fc30.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000005_000007_v8_div_balv2_0150__Videos__he3w2n9WvrI__16-mp4__t5-98_jpg.rf.90c766a6cd46_d339fc30.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000005_000007_v8_div_balv2_0150__Videos__he3w2n9WvrI__16-mp4__t5-98_jpg.rf.90c766a6cd46_d339fc30.txt,d339fc306e57e51fc093d9273a2c4b4680c64130,2
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000008_v8_div_balv2_0161__Videos__he3w2n9WvrI__10-mp4__t5-98_jpg.rf.19ba2b430791579b997_edd50986.jpg,data/annotations/final_combined_1class_20260213/test/labels/000008_v8_div_balv2_0161__Videos__he3w2n9WvrI__10-mp4__t5-98_jpg.rf.19ba2b430791579b997_edd50986.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000006_000008_v8_div_balv2_0161__Videos__he3w2n9WvrI__10-mp4__t5-98_jpg.rf.19ba2b430791_edd50986.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000006_000008_v8_div_balv2_0161__Videos__he3w2n9WvrI__10-mp4__t5-98_jpg.rf.19ba2b430791_edd50986.txt,edd5098682364d3c05cc35fa0a8da6e7315d0879,2
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000009_v8_div_balv2_0173__Videos__uLW74013Wp0__20-mp4__t4-85_jpg.rf.1e7f469df3ce4a4a2d0_31b69943.jpg,data/annotations/final_combined_1class_20260213/test/labels/000009_v8_div_balv2_0173__Videos__uLW74013Wp0__20-mp4__t4-85_jpg.rf.1e7f469df3ce4a4a2d0_31b69943.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000007_000009_v8_div_balv2_0173__Videos__uLW74013Wp0__20-mp4__t4-85_jpg.rf.1e7f469df3ce_31b69943.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000007_000009_v8_div_balv2_0173__Videos__uLW74013Wp0__20-mp4__t4-85_jpg.rf.1e7f469df3ce_31b69943.txt,31b69943d026dcbfde31117767a6a45d37cf69a7,3
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000013_v8_div_balv2_0261__Videos__uLW74013Wp0__16-mp4__t1-32_jpg.rf.920d3107f6c89076cc1_7c5569a8.jpg,data/annotations/final_combined_1class_20260213/test/labels/000013_v8_div_balv2_0261__Videos__uLW74013Wp0__16-mp4__t1-32_jpg.rf.920d3107f6c89076cc1_7c5569a8.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000008_000013_v8_div_balv2_0261__Videos__uLW74013Wp0__16-mp4__t1-32_jpg.rf.920d3107f6c8_7c5569a8.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000008_000013_v8_div_balv2_0261__Videos__uLW74013Wp0__16-mp4__t1-32_jpg.rf.920d3107f6c8_7c5569a8.txt,7c5569a86f610de7fe7e3fe47c37a65474b2789b,2
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000014_v8_div_balv2_0264__Videos__qxfgw1Kd98A__2-mp4__t4-81_jpg.rf.0f30ccca9cdc0aa05864_f6a715ff.jpg,data/annotations/final_combined_1class_20260213/test/labels/000014_v8_div_balv2_0264__Videos__qxfgw1Kd98A__2-mp4__t4-81_jpg.rf.0f30ccca9cdc0aa05864_f6a715ff.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000009_000014_v8_div_balv2_0264__Videos__qxfgw1Kd98A__2-mp4__t4-81_jpg.rf.0f30ccca9cdc0_f6a715ff.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000009_000014_v8_div_balv2_0264__Videos__qxfgw1Kd98A__2-mp4__t4-81_jpg.rf.0f30ccca9cdc0_f6a715ff.txt,f6a715ff3a8cac84dab755004899d1f54e271b56,1
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000155_unseen_2907_SL_frame0264_jpg.rf.1530a7a046ea61b72bcbaffa330a497e_710c4a80.jpg,data/annotations/final_combined_1class_20260213/test/labels/000155_unseen_2907_SL_frame0264_jpg.rf.1530a7a046ea61b72bcbaffa330a497e_710c4a80.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000010_000155_unseen_2907_SL_frame0264_jpg.rf.1530a7a046ea61b72bcbaffa330a497e_710c4a80_710c4a80.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000010_000155_unseen_2907_SL_frame0264_jpg.rf.1530a7a046ea61b72bcbaffa330a497e_710c4a80_710c4a80.txt,710c4a8034c1a759045adad80d2d6d1cd7bdb4c0,10
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000156_unseen_2907_SL_frame0627_jpg.rf.7c568240e805ffc690e1db7a21e17343_4a154de4.jpg,data/annotations/final_combined_1class_20260213/test/labels/000156_unseen_2907_SL_frame0627_jpg.rf.7c568240e805ffc690e1db7a21e17343_4a154de4.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000011_000156_unseen_2907_SL_frame0627_jpg.rf.7c568240e805ffc690e1db7a21e17343_4a154de4_4a154de4.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000011_000156_unseen_2907_SL_frame0627_jpg.rf.7c568240e805ffc690e1db7a21e17343_4a154de4_4a154de4.txt,4a154de41dd0c0a7ee7d478c05fa03e186589b4c,4
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000157_unseen_2909_SL_frame0504_jpg.rf.7367dfedcc51adf5195ad7d4f429bb42_027f6eae.jpg,data/annotations/final_combined_1class_20260213/test/labels/000157_unseen_2909_SL_frame0504_jpg.rf.7367dfedcc51adf5195ad7d4f429bb42_027f6eae.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000012_000157_unseen_2909_SL_frame0504_jpg.rf.7367dfedcc51adf5195ad7d4f429bb42_027f6eae_027f6eae.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000012_000157_unseen_2909_SL_frame0504_jpg.rf.7367dfedcc51adf5195ad7d4f429bb42_027f6eae_027f6eae.txt,027f6eae262197eefdc419b537ad3a576a6b2771,5
