split,image_name,label_name,objects,median_h_norm,priority_for_manual_review,bootstrap_base_invisible
train,000039_000015_v8_div_balv2_0001__GS__MO_GS_R3-mov__t65-36_jpg.rf.7aec51c7d2c0e0047229d3_ac734c13.jpg,000039_000015_v8_div_balv2_0001__GS__MO_GS_R3-mov__t65-36_jpg.rf.7aec51c7d2c0e0047229d3_ac734c13.txt,2,0.093352,True,False
train,000042_000018_v8_div_balv2_0006__GS__MO_GS_R3-mov__t52-69_jpg.rf.b470ebb79439c1e28fe528_7b9bdc27.jpg,000042_000018_v8_div_balv2_0006__GS__MO_GS_R3-mov__t52-69_jpg.rf.b470ebb79439c1e28fe528_7b9bdc27.txt,4,0.082711,True,False
train,000052_000028_v8_div_balv2_0031__GS__Lucas_GS_T-mov__t19-68_jpg.rf.02c0fc84383105a7472a_c5011810.jpg,000052_000028_v8_div_balv2_0031__GS__Lucas_GS_T-mov__t19-68_jpg.rf.02c0fc84383105a7472a_c5011810.txt,6,0.122633,True,False
train,000057_000033_v8_div_balv2_0049__GS__MS_GS_R-mov__t2-22_jpg.rf.4afb8380eacea5ce25f251ff_c27f4f70.jpg,000057_000033_v8_div_balv2_0049__GS__MS_GS_R-mov__t2-22_jpg.rf.4afb8380eacea5ce25f251ff_c27f4f70.txt,2,0.139672,True,False
train,000059_000035_v8_div_balv2_0051__GS__Lucas_GS_T-mov__t0-61_jpg.rf.27090fa8f372f51a7171a_67cf855e.jpg,000059_000035_v8_div_balv2_0051__GS__Lucas_GS_T-mov__t0-61_jpg.rf.27090fa8f372f51a7171a_67cf855e.txt,21,0.12921,True,False
train,000061_000037_v8_div_balv2_0057__GS__Lucas_GS_T2-mov__t5-63_jpg.rf.3879cd401c6f338e10ca_67a281de.jpg,000061_000037_v8_div_balv2_0057__GS__Lucas_GS_T2-mov__t5-63_jpg.rf.3879cd401c6f338e10ca_67a281de.txt,6,0.137227,True,False
train,000065_000041_v8_div_balv2_0066__GS__Mikaela_Shifferin_GS_racing-mov__t30-94_jpg.rf.5d4_bf57e136.jpg,000065_000041_v8_div_balv2_0066__GS__Mikaela_Shifferin_GS_racing-mov__t30-94_jpg.rf.5d4_bf57e136.txt,4,0.111211,True,False
train,000073_000049_v8_div_balv2_0080__GS__Mikaela_Shifferin_GS_racing-mov__t35-07_jpg.rf.b9d_a9642ac5.jpg,000073_000049_v8_div_balv2_0080__GS__Mikaela_Shifferin_GS_racing-mov__t35-07_jpg.rf.b9d_a9642ac5.txt,2,0.099042,True,False
train,000075_000051_v8_div_balv2_0083__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t1-84_f3c2b5b1.jpg,000075_000051_v8_div_balv2_0083__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t1-84_f3c2b5b1.txt,3,0.139877,True,False
train,000078_000054_v8_div_balv2_0094__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t59-4_11654142.jpg,000078_000054_v8_div_balv2_0094__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t59-4_11654142.txt,4,0.122223,True,False
train,000097_000073_v8_div_balv2_0154__Videos__uLW74013Wp0__9-mp4__t2-13_jpg.rf.9d4e0cbe67efb_822d769b.jpg,000097_000073_v8_div_balv2_0154__Videos__uLW74013Wp0__9-mp4__t2-13_jpg.rf.9d4e0cbe67efb_822d769b.txt,2,0.137448,True,False
train,000105_000081_v8_div_balv2_0168__Videos__he3w2n9WvrI__17-mp4__t6-20_jpg.rf.03cc563e8557_c857f7d4.jpg,000105_000081_v8_div_balv2_0168__Videos__he3w2n9WvrI__17-mp4__t6-20_jpg.rf.03cc563e8557_c857f7d4.txt,4,0.140016,True,False
train,000107_000083_v8_div_balv2_0176__Videos__he3w2n9WvrI__11-mp4__t6-96_jpg.rf.bb240b4e88a3_8af4eeb1.jpg,000107_000083_v8_div_balv2_0176__Videos__he3w2n9WvrI__11-mp4__t6-96_jpg.rf.bb240b4e88a3_8af4eeb1.txt,4,0.119828,True,False
train,000111_000087_v8_div_balv2_0194__Videos__he3w2n9WvrI__17-mp4__t7-39_jpg.rf.56518cd3fc6d_26f2b6f1.jpg,000111_000087_v8_div_balv2_0194__Videos__he3w2n9WvrI__17-mp4__t7-39_jpg.rf.56518cd3fc6d_26f2b6f1.txt,4,0.124952,True,False
train,000115_000091_v8_div_balv2_0202__Videos__uLW74013Wp0__4-mp4__t11-03_jpg.rf.524e47b9dd3c_253d26ac.jpg,000115_000091_v8_div_balv2_0202__Videos__uLW74013Wp0__4-mp4__t11-03_jpg.rf.524e47b9dd3c_253d26ac.txt,2,0.125524,True,False
train,000117_000093_v8_div_balv2_0210__Videos__he3w2n9WvrI__5-mp4__t7-79_jpg.rf.47f799f155b19_7a827640.jpg,000117_000093_v8_div_balv2_0210__Videos__he3w2n9WvrI__5-mp4__t7-79_jpg.rf.47f799f155b19_7a827640.txt,2,0.118459,True,False
train,000123_000099_v8_div_balv2_0225__Videos__uLW74013Wp0__8-mp4__t7-15_jpg.rf.463da3a07735f_6a5f294a.jpg,000123_000099_v8_div_balv2_0225__Videos__uLW74013Wp0__8-mp4__t7-15_jpg.rf.463da3a07735f_6a5f294a.txt,2,0.136393,True,False
train,000151_000166_unseen_2907_SL_frame0396_jpg.rf.b104e7100b52c7195c566a8fd29a42b9_3ef8aafc_3ef8aafc.jpg,000151_000166_unseen_2907_SL_frame0396_jpg.rf.b104e7100b52c7195c566a8fd29a42b9_3ef8aafc_3ef8aafc.txt,10,0.064823,True,False
train,000152_000167_unseen_2907_SL_frame0429_jpg.rf.f930fbad3e1005a5f8204b759ae99b05_5cc49c30_5cc49c30.jpg,000152_000167_unseen_2907_SL_frame0429_jpg.rf.f930fbad3e1005a5f8204b759ae99b05_5cc49c30_5cc49c30.txt,6,0.110917,True,False
train,000153_000168_unseen_2907_SL_frame0462_jpg.rf.423114820102245c6a3045cb88c3e778_25831cc6_25831cc6.jpg,000153_000168_unseen_2907_SL_frame0462_jpg.rf.423114820102245c6a3045cb88c3e778_25831cc6_25831cc6.txt,6,0.075438,True,False
train,000155_000170_unseen_2907_SL_frame0528_jpg.rf.39fc48ddeb58330cda068017bc7ee1b1_a510fa9f_a510fa9f.jpg,000155_000170_unseen_2907_SL_frame0528_jpg.rf.39fc48ddeb58330cda068017bc7ee1b1_a510fa9f_a510fa9f.txt,3,0.139979,True,False
train,000169_000184_unseen_2909_SL_frame0288_jpg.rf.157b1606a16ebfb3862678a62f73efc6_24b7e64a_24b7e64a.jpg,000169_000184_unseen_2909_SL_frame0288_jpg.rf.157b1606a16ebfb3862678a62f73efc6_24b7e64a_24b7e64a.txt,27,0.151167,True,False
train,000170_000185_unseen_2909_SL_frame0324_jpg.rf.47c91dbcd608c04658bcc0fbad72781c_2199104e_2199104e.jpg,000170_000185_unseen_2909_SL_frame0324_jpg.rf.47c91dbcd608c04658bcc0fbad72781c_2199104e_2199104e.txt,17,0.129979,True,False
train,000171_000186_unseen_2909_SL_frame0360_jpg.rf.570b2731657dd4ce6511b348212e5f8b_b1df9c9f_b1df9c9f.jpg,000171_000186_unseen_2909_SL_frame0360_jpg.rf.570b2731657dd4ce6511b348212e5f8b_b1df9c9f_b1df9c9f.txt,21,0.076958,True,False
train,000172_000187_unseen_2909_SL_frame0396_jpg.rf.3d0cc5dd919b078448d61e53619308d4_903844b6_903844b6.jpg,000172_000187_unseen_2909_SL_frame0396_jpg.rf.3d0cc5dd919b078448d61e53619308d4_903844b6_903844b6.txt,7,0.052687,True,False
train,000173_000188_unseen_2909_SL_frame0432_jpg.rf.fee004ce13badc975f49a909514515f1_bb41a8fc_bb41a8fc.jpg,000173_000188_unseen_2909_SL_frame0432_jpg.rf.fee004ce13badc975f49a909514515f1_bb41a8fc_bb41a8fc.txt,4,0.123562,True,False
train,000192_000207_unseen_2911_SL_frame0527_jpg.rf.b27637500e48af41e8e10a6cbeaa37ad_df0ab44e_df0ab44e.jpg,000192_000207_unseen_2911_SL_frame0527_jpg.rf.b27637500e48af41e8e10a6cbeaa37ad_df0ab44e_df0ab44e.txt,4,0.122146,True,False
